fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
3,chance_100/change_15,benchmark_model,test,0.285,0.01310365296803653
4,chance_100/change_15,benchmark_model,test,0.32,0.01310365296803653
0,chance_100/change_15,benchmark_model,val,0.3375,0.01310365296803653
1,chance_100/change_15,benchmark_model,val,0.45625,0.01310365296803653
2,chance_100/change_15,benchmark_model,val,0.25,0.01310365296803653
3,chance_100/change_15,benchmark_model,val,0.30625,0.01310365296803653
4,chance_100/change_15,benchmark_model,val,0.3,0.01310365296803653
0,chance_100/change_20,alt_model,test,0.925,0.012145205479452055
1,chance_100/change_20,alt_model,test,0.895,0.012145205479452055
2,chance_100/change_20,alt_model,test,0.91,0.012145205479452055
3,chance_100/change_20,alt_model,test,0.92,0.012145205479452055
4,chance_100/change_20,alt_model,test,0.94,0.012145205479452055
0,chance_100/change_20,alt_model,val,0.93125,0.012145205479452055
1,chance_100/change_20,alt_model,val,0.9375,0.012145205479452055
2,chance_100/change_20,alt_model,val,0.93125,0.012145205479452055
3,chance_100/change_20,alt_model,val,0.925,0.012145205479452055
4,chance_100/change_20,alt_model,val,0.90625,0.012145205479452055
0,chance_100/change_20,benchmark_model,test,0.325,0.012145205479452055
1,chance_100/change_20,benchmark_model,test,0.45,0.012145205479452055
2,chance_100/change_20,benchmark_model,test,0.325,0.012145205479452055
3,chance_100/change_20,benchmark_model,test,0.325,0.012145205479452055
4,chance_100/change_20,benchmark_model,test,0.33,0.012145205479452055
0,chance_100/change_20,benchmark_model,val,0.34375,0.012145205479452055
1,chance_100/change_20,benchmark_model,val,0.4625,0.012145205479452055
2,chance_100/change_20,benchmark_model,val,0.29375,0.012145205479452055
3,chance_100/change_20,benchmark_model,val,0.3,0.012145205479452055
4,chance_100/change_20,benchmark_model,val,0.35,0.012145205479452055
0,chance_100/change_25,alt_model,test,0.985,0.013207191780821918
1,chance_100/change_25,alt_model,test,0.98,0.013207191780821918
2,chance_100/change_25,alt_model,test,0.965,0.013207191780821918
3,chance_100/change_25,alt_model,test,0.975,0.013207191780821918
4,chance_100/change_25,alt_model,test,0.98,0.013207191780821918
0,chance_100/change_25,alt_model,val,0.975,0.013207191780821918
1,chance_100/change_25,alt_model,val,0.9625,0.013207191780821918
2,chance_100/change_25,alt_model,val,0.99375,0.013207191780821918
